Model,Success Rate,Average Makespan (Successful),Flowtime (FT),Flowtime Increase (dFT),Avg Inference Time (ms/step),Parameters
adc_fixedt_10x10_o10_p5,0.6068,10.6629,90.7937,1.7265,1.1312,97061
adc_k1_10x10_o10_p5,0.5930,10.4050,91.5990,1.7507,0.8073,97062
adc_main_10x10_o10_p5,0.5869,10.2888,92.2358,1.7698,1.1245,97062
gcn_k1_10x10_o10_p5,0.5986,10.4012,91.2878,1.7413,0.6518,97061
gcn_k2_10x10_o10_p5,0.5947,10.4176,91.7616,1.7556,0.6680,105253
gcn_k3_10x10_o10_p5,0.6016,10.4633,90.3286,1.7125,0.6835,113445
gcn_k4_10x10_o10_p5,0.5908,10.4945,92.4933,1.7775,0.6979,121637
