Model,Success Rate,Average Makespan (Successful),Flowtime (FT),Flowtime Increase (dFT),Avg Inference Time (ms/step),Parameters
gcn_k1_10x10_o10_p5,0.5817,10.3234,93.3866,1.8044,0.7689,39717
gcn_k2_10x10_o10_p5,0.6285,10.5407,87.4759,1.6269,0.8562,47909
gcn_k3_10x10_o10_p5,0.6259,10.5062,88.0316,1.6436,0.8774,56101
gcn_k4_10x10_o10_p5,0.6290,10.5651,87.3325,1.6226,0.8927,64293
adc_main_10x10_o10_p5,0.6064,10.4954,89.7573,1.6954,1.3400,39718
adc_fixedt_10x10_o10_p5,0.6285,10.7221,88.1565,1.6473,1.3730,39717
adc_k1_10x10_o10_p5,0.5956,10.3937,91.8392,1.7579,1.0546,39718
