Test Set,Model,Success Rate,Average Makespan (Successful),Flowtime (FT),Flowtime Increase (dFT),Avg Inference Time (ms/step),Parameters
map10x10_r5_o10_p5_test,gcn_k1_10x10_o10_p5,0.7453,10.2972,65.5435,1.0412,0.9750,39717
map10x10_r5_o10_p5_test,gcn_k2_10x10_o10_p5,0.8095,10.4616,57.4741,0.7899,0.9906,47909
map10x10_r5_o10_p5_test,gcn_k3_10x10_o10_p5,0.7909,10.4084,59.9834,0.8680,1.0092,56101
map10x10_r5_o10_p5_test,gcn_k4_10x10_o10_p5,0.8043,10.5122,57.8810,0.8025,1.0339,64293
map10x10_r5_o10_p5_test,adc_main_10x10_o10_p5,0.7547,10.3443,64.0611,0.9950,1.4841,39718
map10x10_r5_o10_p5_test,adc_fixedt_10x10_o10_p5,0.8116,10.5472,57.6398,0.7950,1.4781,39717
map10x10_r5_o10_p5_test,adc_k1_10x10_o10_p5,0.7650,10.3775,63.1387,0.9663,0.9733,39718
map10x10_r5_o20_p5_test,gcn_k1_10x10_o10_p5,0.5087,10.3936,102.9569,2.0384,0.6594,39717
map10x10_r5_o20_p5_test,gcn_k2_10x10_o10_p5,0.5704,10.7347,95.0419,1.8049,0.6795,47909
map10x10_r5_o20_p5_test,gcn_k3_10x10_o10_p5,0.5821,10.7720,93.7835,1.7677,0.6974,56101
map10x10_r5_o20_p5_test,gcn_k4_10x10_o10_p5,0.5634,10.6921,95.7637,1.8262,0.7143,64293
map10x10_r5_o20_p5_test,adc_main_10x10_o10_p5,0.5588,10.6854,96.0687,1.8352,1.1419,39718
map10x10_r5_o20_p5_test,adc_fixedt_10x10_o10_p5,0.5553,10.9518,97.8778,1.8885,1.2411,39717
map10x10_r5_o20_p5_test,adc_k1_10x10_o10_p5,0.5390,10.5032,99.1886,1.9272,1.0532,39718
map10x10_r5_o30_p5_test,gcn_k1_10x10_o10_p5,0.3838,10.2595,132.1328,2.8141,0.7271,39717
map10x10_r5_o30_p5_test,gcn_k2_10x10_o10_p5,0.3693,10.3539,134.1203,2.8715,0.9786,47909
map10x10_r5_o30_p5_test,gcn_k3_10x10_o10_p5,0.3734,10.1833,133.9938,2.8678,0.9951,56101
map10x10_r5_o30_p5_test,gcn_k4_10x10_o10_p5,0.3942,10.4579,131.3320,2.7910,1.0168,64293
map10x10_r5_o30_p5_test,adc_main_10x10_o10_p5,0.3942,10.5947,130.0083,2.7528,1.4707,39718
map10x10_r5_o30_p5_test,adc_fixedt_10x10_o10_p5,0.3921,10.8677,131.9917,2.8100,1.4689,39717
map10x10_r5_o30_p5_test,adc_k1_10x10_o10_p5,0.3568,10.1686,136.2614,2.9333,1.1294,39718
