Model,Success Rate,Average Makespan (Successful),Flowtime (FT),Flowtime Increase (dFT),Avg Inference Time (ms/step),Parameters
gcn_k1_10x10_o20_p5,0.6103,10.4709,89.3845,1.6842,0.9068,39717
gcn_k2_10x10_o20_p5,0.6597,10.6997,83.3268,1.5023,0.9793,47909
gcn_k3_10x10_o20_p5,0.6450,10.6761,84.7009,1.5435,0.9053,56101
gcn_k4_10x10_o20_p5,0.6671,10.6387,82.2193,1.4690,0.9171,64293
adc_main_10x10_o20_p5,0.6329,10.4842,86.6363,1.6017,1.3474,39718
adc_fixedt_10x10_o20_p5,0.6849,10.9063,80.5076,1.4176,1.3374,39717
adc_k1_10x10_o20_p5,0.6337,10.4829,86.1795,1.5879,1.0173,39718
