Test Set,Model,Success Rate,Average Makespan (Successful),Flowtime (FT),Flowtime Increase (dFT),Avg Inference Time (ms/step),Parameters
map10x10_r5_o10_p5_test,gcn_k1_10x10_o30_p5,0.7640,10.4024,62.8364,0.9569,0.6742,39717
map10x10_r5_o10_p5_test,gcn_k2_10x10_o30_p5,0.7702,10.4368,62.4255,0.9441,0.6899,47909
map10x10_r5_o10_p5_test,gcn_k3_10x10_o30_p5,0.7712,10.4940,62.9431,0.9602,0.7104,56101
map10x10_r5_o10_p5_test,gcn_k4_10x10_o30_p5,0.7743,10.5508,61.5280,0.9161,0.7270,64293
map10x10_r5_o10_p5_test,adc_main_10x10_o30_p5,0.7588,10.3915,63.5248,0.9783,1.1517,39718
map10x10_r5_o10_p5_test,adc_fixedt_10x10_o30_p5,0.8147,10.6861,56.7008,0.7658,1.1504,39717
map10x10_r5_o10_p5_test,adc_k1_10x10_o30_p5,0.7629,10.4152,63.1925,0.9680,0.8344,39718
map10x10_r5_o20_p5_test,gcn_k1_10x10_o30_p5,0.5844,10.6574,93.3946,1.7562,0.6666,39717
map10x10_r5_o20_p5_test,gcn_k2_10x10_o30_p5,0.6135,10.8121,89.6217,1.6449,0.6868,47909
map10x10_r5_o20_p5_test,gcn_k3_10x10_o30_p5,0.6042,11.0039,90.7392,1.6779,0.7057,56101
map10x10_r5_o20_p5_test,gcn_k4_10x10_o30_p5,0.5925,10.7603,91.7474,1.7076,0.7233,64293
map10x10_r5_o20_p5_test,adc_main_10x10_o30_p5,0.5902,10.7239,92.1409,1.7192,1.1480,39718
map10x10_r5_o20_p5_test,adc_fixedt_10x10_o30_p5,0.6531,11.2531,84.8929,1.5053,1.1463,39717
map10x10_r5_o20_p5_test,adc_k1_10x10_o30_p5,0.5541,10.6176,97.0303,1.8635,0.8273,39718
map10x10_r5_o30_p5_test,gcn_k1_10x10_o30_p5,0.4336,10.7273,125.0000,2.6082,0.6658,39717
map10x10_r5_o30_p5_test,gcn_k2_10x10_o30_p5,0.4419,10.8498,123.2988,2.5591,0.6856,47909
map10x10_r5_o30_p5_test,gcn_k3_10x10_o30_p5,0.4606,11.2387,120.5456,2.4796,0.7035,56101
map10x10_r5_o30_p5_test,gcn_k4_10x10_o30_p5,0.4710,10.5903,119.8278,2.4589,0.7218,64293
map10x10_r5_o30_p5_test,adc_main_10x10_o30_p5,0.4585,10.7059,121.3755,2.5036,1.1448,39718
map10x10_r5_o30_p5_test,adc_fixedt_10x10_o30_p5,0.4751,11.3930,119.5456,2.4508,1.1450,39717
map10x10_r5_o30_p5_test,adc_k1_10x10_o30_p5,0.4502,10.7419,122.9979,2.5504,0.8250,39718
